index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category
16,realme,1,0,9.867860375,4.25,43,qled,1,16,0.011451371,4,0,0,1,4,1,2,2,1,2,0,2,big
17,tcl,1,0,11.60823564,4.45,65,miniled,1,44.8,0.003236393,3,0,0,1,2,1,2,1,2,4,1,2,big
18,hisense,1,0,10.06900199,4.2,43,qled,1,16,0.01121234,4,0,1,0,4,1,2,1,1,3,0,2,big
19,tcl,0,1,9.305650552,4.65,32,led,1,16,0.014955515,3,0,0,1,1,0,1,1,2,0,0,2,big
20,samsung,1,0,10.20359214,4.3,43,led,1,19.2,0.008122523,3,0,0,1,4,1,2,1,1,2,0,2,big
21,lumio,1,0,10.858999,4.7,55,miniled,1,44.8,0.006417431,4,1,0,0,3,1,2,1,2,4,1,2,big
22,motorola,1,0,10.1266311,4.05,43,qled,1,32,0.009072363,4,0,0,1,4,1,2,3,1,2,0,1,big
23,compaq,1,0,9.392661929,4.05,43,led,1,19.2,0.013163597,4,0,0,1,4,1,2,1,2,0,0,2,small
24,sony,1,0,12.34579741,4.3,65,lcd,1,32,0.001542252,4,1,0,0,2,1,2,1,2,4,1,2,big
25,tcl,1,0,10.83940443,4.2,55,qled,1,32,0.005848206,3,1,0,0,3,1,2,2,2,4,1,1,big
26,xiaomi,1,0,10.40426284,4.45,43,miniled,1,32,0.007821449,4,1,0,0,4,1,2,1,1,3,0,2,big
27,hisense,1,0,10.35137338,4.65,55,qled,1,19.2,0.009805425,4,0,1,0,3,1,2,1,1,3,1,2,big
28,lumio,1,0,10.30895266,4,43,qled,1,44.8,0.008000267,4,1,0,0,4,1,2,1,2,3,0,2,big
29,croma,0,0,9.472012089,4.35,32,qled,1,16,0.013394919,4,0,1,0,0,0,0,1,0,1,0,2,medium
30,motorola,0,0,9.367344121,4.55,32,qled,1,16,0.014779041,4,0,0,1,0,0,0,3,0,0,0,1,big
31,hisense,1,0,10.30895266,4.75,50,qled,1,28.8,0.009975333,4,0,0,1,4,1,2,2,1,3,1,2,big
32,tcl,1,0,10.73639668,4,55,miniled,1,16,0.00547838,3,0,0,1,3,1,2,1,1,3,1,2,big
